acquisition,RX_level,RX_difference
400,-78.625946,3.792641
400,-78.625946,3.792641
401,-78.625946,3.792641
401,-78.625946,3.792641
402,-78.878646,2.78035
402,-78.878646,2.78035
403,-78.878646,2.78035
403,-78.878646,2.78035
404,-78.730995,2.426727
404,-78.730995,2.426727
405,-78.730995,2.426727
405,-78.730995,2.426727
406,-78.782417,2.517303
406,-78.782417,2.517303
407,-78.782417,2.517303
407,-78.782417,2.517303
408,-78.564514,2.678597
408,-78.564514,2.678597
409,-78.564514,2.678597
409,-78.564514,2.678597
410,-78.649963,2.71862
410,-78.649963,2.71862
411,-78.649963,2.71862
411,-78.649963,2.71862
412,-78.778274,2.660789
412,-78.778274,2.660789
413,-78.778274,2.660789
413,-78.778274,2.660789
414,-78.706527,2.601196
414,-78.706527,2.601196
415,-78.706527,2.601196
415,-78.706527,2.601196
416,-78.889236,2.637115
416,-78.889236,2.637115
417,-78.889236,2.637115
417,-78.889236,2.637115
418,-78.763832,2.617683
418,-78.763832,2.617683
419,-78.763832,2.617683
419,-78.763832,2.617683
420,-78.741226,2.643394
420,-78.741226,2.643394
421,-78.741226,2.643394
421,-78.741226,2.643394
422,-78.690292,2.733223
422,-78.690292,2.733223
423,-78.690292,2.733223
423,-78.690292,2.733223
424,-78.690292,2.733223
424,-78.772079,2.961281
425,-78.772079,2.961281
425,-78.772079,2.961281
426,-78.772079,2.961281
426,-78.430816,2.606316
427,-78.430816,2.606316
427,-78.430816,2.606316
428,-78.430816,2.606316
428,-78.615982,2.672783
429,-78.615982,2.672783
429,-78.615982,2.672783
430,-78.615982,2.672783
430,-78.730995,2.682457
431,-78.730995,2.682457
431,-78.730995,2.682457
432,-78.730995,2.682457
432,-78.908363,2.691795
433,-78.908363,2.691795
433,-78.908363,2.691795
434,-78.908363,2.691795
434,-78.660011,2.603722
435,-78.660011,2.603722
435,-78.660011,2.603722
436,-78.660011,2.603722
436,-78.761772,2.654701
437,-78.761772,2.654701
437,-78.761772,2.654701
438,-78.761772,2.654701
438,-78.770019,2.539688
439,-78.770019,2.539688
439,-78.770019,2.539688
440,-78.770019,2.539688
440,-78.737129,2.526405
441,-78.737129,2.526405
441,-78.737129,2.526405
442,-78.737129,2.526405
442,-78.878646,2.40696
443,-78.878646,2.40696
443,-78.878646,2.40696
444,-78.878646,2.40696
444,-78.770019,2.617905
445,-78.770019,2.617905
445,-78.770019,2.617905
446,-78.770019,2.617905
446,-78.718742,2.841316
447,-78.718742,2.841316
447,-78.718742,2.841316
448,-78.718742,2.841316
448,-78.674118,2.646484
449,-78.674118,2.646484
449,-78.674118,2.646484
450,-78.674118,2.646484
450,-78.830268,3.29184
451,-78.830268,3.29184
451,-78.830268,3.29184
452,-78.830268,3.29184
452,-78.780342,2.412415
453,-78.780342,2.412415
453,-78.780342,2.412415
454,-78.780342,2.412415
454,-78.651969,3.349327
455,-78.651969,3.349327
455,-78.651969,3.349327
456,-78.651969,3.349327
456,-78.552726,2.796722
457,-78.552726,2.796722
457,-78.552726,2.796722
458,-78.552726,2.796722
458,-78.770019,2.81485
459,-78.770019,2.81485
459,-78.770019,2.81485
460,-78.770019,2.81485
460,-78.803154,2.373589
461,-78.803154,2.373589
461,-78.803154,2.373589
462,-78.803154,2.373589
462,-78.708557,2.663055
463,-78.708557,2.663055
463,-78.708557,2.663055
464,-78.708557,2.663055
464,-78.627944,2.644325
465,-78.627944,2.644325
465,-78.627944,2.644325
466,-78.627944,2.644325
466,-78.70449,2.66671
467,-78.70449,2.66671
467,-78.70449,2.66671
468,-78.70449,2.66671
468,-78.668067,2.577789
469,-78.668067,2.577789
469,-78.668067,2.577789
470,-78.668067,2.577789
470,-78.542923,3.219368
471,-78.542923,3.219368
471,-78.542923,3.219368
472,-78.542923,3.219368
472,-78.700431,2.477417
473,-78.700431,2.477417
473,-78.700431,2.477417
474,-78.700431,2.477417
474,-78.940437,3.191627
475,-78.940437,3.191627
475,-78.940437,3.191627
476,-78.940437,3.191627
476,-78.572395,2.922646
477,-78.572395,2.922646
477,-78.572395,2.922646
478,-78.572395,2.922646
478,-78.666053,2.57666
479,-78.666053,2.57666
479,-78.666053,2.57666
480,-78.666053,2.57666
480,-78.757659,2.821594
481,-78.757659,2.821594
481,-78.757659,2.821594
482,-78.757659,2.821594
482,-78.910499,2.387726
483,-78.910499,2.387726
483,-78.910499,2.387726
484,-78.910499,2.387726
484,-78.885002,2.680672
485,-78.885002,2.680672
485,-78.885002,2.680672
486,-78.885002,2.680672
486,-78.82817,2.704308
