,acquisition,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
215,6,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
216,6,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
217,6,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
218,6,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
219,6,wave,-0.03,19.89,-12.28,-0.08953,-0.0434,0.32151
220,6,wave,-0.03,19.89,-12.28,-0.08953,-0.0434,0.32151
221,6,wave,-0.03,19.89,-12.28,-0.08953,-0.0434,0.32151
222,6,wave,-0.03,19.89,-12.28,-0.08953,-0.0434,0.32151
223,6,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
224,6,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
225,6,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
226,6,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
227,6,wave,2.42,-0.22,-0.42,0.06832,0.03423,-0.10654
228,6,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
229,6,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
230,6,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
231,6,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
232,6,wave,2.18,-1.16,-0.22,0.02163,0.02583,-0.27552
233,6,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
234,6,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
235,6,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
236,6,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
237,6,wave,3.32,19.77,-1.36,-0.04487,-0.0329,0.28511
238,6,wave,5.03,-9.08,-0.38,0.03024,0.0182,-0.24738
239,6,wave,5.03,-9.08,-0.38,0.03024,0.0182,-0.24738
240,7,wave,8.03,-3.93,-1.39,0.00301,0.01365,-0.19131
241,7,wave,8.03,-3.93,-1.39,0.00301,0.01365,-0.19131
242,7,wave,8.03,-3.93,-1.39,0.00301,0.01365,-0.19131
243,7,wave,8.03,-3.93,-1.39,0.00301,0.01365,-0.19131
244,7,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
245,7,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
246,7,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
247,7,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
248,7,wave,-4.44,-19.88,3.86,0.01302,0.01253,-0.03542
249,7,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
250,7,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
251,7,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
252,7,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
253,7,wave,4.91,19.89,-7.56,-0.02667,-0.05138,0.34146
254,7,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
255,7,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
256,7,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
257,7,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
258,7,wave,-3.15,-12.2,-1.86,-0.00889,0.01435,-0.23177
259,7,wave,-4.63,5.34,-0.81,-0.00791,0.07413,-0.13398
260,7,wave,-4.63,5.34,-0.81,-0.00791,0.07413,-0.13398
261,7,wave,-4.63,5.34,-0.81,-0.00791,0.07413,-0.13398
262,7,wave,-4.63,5.34,-0.81,-0.00791,0.07413,-0.13398
263,7,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
264,7,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
265,7,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
266,7,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
267,7,wave,-0.22,-0.58,1.6,-0.00399,-0.09324,0.20692
268,7,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
269,7,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
270,7,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
271,7,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
272,7,wave,-0.61,-11.26,-0.15,0.00259,-0.02534,-0.29484
273,7,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
274,7,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
275,7,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
276,7,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
277,7,wave,6.55,18.53,-5.33,-0.02485,-0.01008,0.31353
