,acquisition,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
273,6,LOS,1766.0,47964.0,1337.0,-79.033691,-83.356376,2.607838
274,6,LOS,1805.0,47832.0,1644.0,-79.53263,-84.566978,2.589077
275,6,LOS,1767.0,47704.0,1489.0,-79.437767,-83.961921,2.607838
276,6,LOS,1907.0,48089.0,1557.0,-79.530174,-84.37384,2.589077
277,6,LOS,1895.0,47970.0,1619.0,-79.199028,-83.761169,2.607838
278,6,LOS,1907.0,47849.0,1550.0,-79.226448,-83.662307,2.607838
279,6,LOS,1939.0,47713.0,1626.0,-79.199028,-83.783447,2.607838
280,6,LOS,1877.0,48095.0,1638.0,-79.126762,-83.465972,2.589077
281,6,LOS,2029.0,47854.0,1620.0,-79.155975,-82.994285,2.551554
282,6,LOS,2040.0,47731.0,1713.0,-78.929718,-82.70729,2.570316
283,6,LOS,1960.0,48105.0,1893.0,-78.906234,-82.708442,2.6266
284,6,LOS,2008.0,47974.0,1894.0,-79.079978,-82.808029,2.589077
285,6,LOS,1960.0,47853.0,1643.0,-78.974899,-82.799385,2.551554
286,6,LOS,2048.0,47731.0,1622.0,-79.079978,-83.064018,2.6266
287,6,LOS,1925.0,48102.0,1615.0,-78.889236,-83.187973,2.607838
288,6,LOS,1922.0,47968.0,1747.0,-79.158233,-82.676864,2.607838
289,6,LOS,2001.0,47830.0,1692.0,-79.165008,-82.002479,2.607838
290,6,LOS,1892.0,47702.0,1625.0,-78.990066,-82.505188,2.589077
291,6,LOS,1873.0,48082.0,1557.0,-79.233329,-83.092964,2.589077
292,6,LOS,1944.0,47946.0,1466.0,-79.27716,-83.452644,2.570316
293,6,LOS,2009.0,47795.0,1803.0,-79.115577,-83.389961,2.589077
294,6,LOS,2035.0,47650.0,1691.0,-78.97274,-82.44065,2.532793
295,6,LOS,1916.0,48024.0,1620.0,-78.916893,-82.474266,2.589077
296,6,LOS,1889.0,47892.0,1555.0,-79.178581,-82.829628,2.570316
297,6,LOS,1905.0,47751.0,1720.0,-79.240219,-83.429733,2.607838
298,6,LOS,1876.0,48102.0,1627.0,-79.20359,-83.343688,2.589077
299,6,LOS,1960.0,47955.0,1540.0,-79.27021,-82.760116,2.551554
300,7,NLOS,2047.0,47707.0,957.0,-79.527717,-83.188873,3.395818
301,7,NLOS,1852.0,47877.0,912.0,-78.891357,-82.877571,3.358295
302,7,NLOS,2061.0,48053.0,1138.0,-79.326126,-83.269737,3.358295
303,7,NLOS,1824.0,47691.0,837.0,-78.861755,-82.798912,3.377057
304,7,NLOS,1828.0,47861.0,883.0,-79.392288,-83.726455,3.320773
305,7,NLOS,1761.0,48052.0,1087.0,-79.382774,-83.762672,3.320773
306,7,NLOS,1794.0,47696.0,1088.0,-79.544944,-83.328712,3.339534
307,7,NLOS,1805.0,47851.0,1001.0,-79.464317,-83.43608,3.358295
308,7,NLOS,1828.0,48017.0,1090.0,-79.437767,-83.455566,3.339534
309,7,NLOS,1801.0,47664.0,910.0,-79.382774,-83.508201,3.358295
310,7,NLOS,1769.0,47821.0,1004.0,-79.447402,-83.935363,3.358295
311,7,NLOS,1755.0,47988.0,1002.0,-79.52526,-83.52684,3.377057
312,7,NLOS,1780.0,48134.0,913.0,-79.559768,-83.531066,3.339534
313,7,NLOS,1800.0,47761.0,919.0,-79.498336,-83.732902,3.339534
314,7,NLOS,1758.0,47929.0,909.0,-79.449813,-83.680175,3.339534
315,7,NLOS,1829.0,48070.0,917.0,-79.552352,-84.091674,3.41458
316,7,NLOS,1820.0,47700.0,942.0,-79.380401,-83.837432,3.358295
317,7,NLOS,1768.0,47855.0,999.0,-79.401824,-83.978698,3.358295
318,7,NLOS,1780.0,47982.0,873.0,-79.527717,-83.706123,3.358295
319,7,NLOS,1796.0,47628.0,922.0,-79.498336,-83.802993,3.28325
320,7,NLOS,1776.0,47788.0,958.0,-79.459472,-83.853012,3.358295
321,7,NLOS,1803.0,47929.0,1001.0,-79.50811,-83.712486,3.377057
